,2022-05-10
ENPH,110.69343065693454
ETSY,7.907808090310464
MRNA,7.113978494623644
FTNT,6.842394145321506
AMD,6.060792349726802
GNRC,6.031055900621094
CZR,5.401063829787217
NOW,5.014149849222917
PAYC,4.913998961758092
CDNS,4.53194221508828
MPWR,4.511859219586858
MTCH,4.24471299093654
MSFT,4.111365369946602
TGT,4.055339626133632
MSCI,4.0191194708557445
DXCM,3.8993688221983924
SNPS,3.7466759002769936
KEYS,3.7317679558011014
WST,3.6133674838394914
LRCX,3.5751440585578553
ZBRA,3.5638193153232134
TECH,3.4850798056905012
TMO,3.404256695562163
LLY,3.383066903493205
KLAC,3.3679274773366625
DE,3.3530979959551264
CTLT,3.3393425238600263
TER,3.3180051813471514
POOL,3.3160804020100536
DG,3.3057250799186195
CF,3.2846586910626328
ODFL,3.2452651515151465
INTU,3.1952311267969407
TWTR,3.184636118598382
TDY,3.110696714807168
STE,3.08111587982832
PWR,3.065241228070184
ZTS,3.0590558585668486
ADBE,3.032872906860089
CTAS,3.031903807615234
COST,3.0081583683263347
UNH,2.9470982547255296
ANTM,2.9390353775001548
CMG,2.917901711761458
TSCO,2.905104136110288
MA,2.8985210263720638
CDW,2.8889852558543
LYV,2.8738180632539954
AJG,2.8248839700106974
DHR,2.812938699110903
AZO,2.7842412479127723
PGR,2.756364562118129
AMAT,2.7559784006171144
EL,2.7506586826347257
RMD,2.73493975903615
GOOG,2.732919921292714
FCX,2.724320241691838
TSLA,2.680021439099559
GOOGL,2.670440618616866
AVGO,2.6571755027422292
SBAC,2.6377248013383507
TDG,2.5884073870908733
HWM,2.5742424242424193
CRL,2.56231138929249
MTD,2.552242241613835
MCO,2.547274352100089
SPGI,2.5356783919598054
HCA,2.5130415314004235
SIVB,2.5027477011806876
PKI,2.5003448275862077
GE,2.4534805890227616
ACN,2.444661679700781
AMZN,2.4421262801314714
BIO,2.4328469326980438
QCOM,2.421415929203539
MU,2.40607541899441
PLD,2.4006508422664554
ABT,2.400494715538564
HLT,2.3913571676501197
MSI,2.3912530944241337
URI,2.37171929257854
ORLY,2.3650315048900263
AON,2.35933406574833
ANSS,2.347036239348249
LOW,2.3419063871282173
ABBV,2.338766723050885
EXR,2.320360074132922
TYL,2.310037126294538
IT,2.2580082606700373
MCK,2.2564821782855558
AME,2.2524687907583365
HES,2.2518628912071534
CARR,2.251182033096927
VRSK,2.2403557114228443
VRTX,2.2350860865518882
NRG,2.2258408969567425
ALGN,2.2183740116878603
CAT,2.1999566489649967
A,2.1924812030075125
IDXX,2.190752189592999
ADSK,2.183042510832648
V,2.1662936436884523
NSC,2.165198237885473
WM,2.1621435459429694
MMC,2.1543917075831955
NUE,2.151303770137855
HPQ,2.1341671404206894
CTVA,2.1289802498992345
AVY,2.1210324811658627
NDAQ,2.1155129879553156
UNP,2.109952606635076
ALB,2.1082547843473285
ADP,2.096771008195906
TXN,2.0935788949726297
ROP,2.0897355010919614
WMT,2.0768481136015695
RSG,2.0664212548015395
HUM,2.0632120894312793
AXP,2.0591678330576455
PTC,2.0572139303482677
RHI,2.0565514297908716
PAYX,2.055612594113623
WAT,2.0512444160816874
HSY,2.048751377157548
DHI,2.044051543302366
DLTR,2.031523417395775
CRM,2.0307374559591884
GWW,2.029974048442912
NVR,2.0227967553548925
BR,2.022028385570667
GRMN,2.0151273885350336
NEM,2.0144585423428776
LDOS,2.002571711177044
AMP,2.0019294589797005
MOS,1.9937737806987226
IEX,1.9897706471411576
HD,1.9858136679852638
COP,1.9817997977755233
NKE,1.9706623470122355
CHD,1.9643215073160905
IQV,1.9569530046225017
TRMB,1.949291338582678
EXPD,1.9459218275923647
TMUS,1.935483870967749
JKHY,1.9272707682361818
VRSN,1.9136140591121755
AIZ,1.9134827912851238
ADI,1.9106351550960143
JBHT,1.9046249170170366
ETN,1.901024811218977
ABMD,1.9002798880447758
MCD,1.89553275210246
NOC,1.89214078466002
MS,1.8791852025286848
KR,1.8772108843537447
BRK.B,1.8728950680170233
DRE,1.8625093914350084
AWK,1.8609022556390948
ADM,1.8552401746724883
AMT,1.855138258357413
PYPL,1.847290640394086
MNST,1.8387237762237785
MPC,1.8366039247096495
RTX,1.836370919287004
BBY,1.828559653822377
ABC,1.8281232108095815
VLO,1.8265136645024893
MAR,1.8125067385444686
LIN,1.809270562639751
CCI,1.8071739361137498
DPZ,1.80271707028943
TROW,1.8020527859237518
CPRT,1.80197368421053
PHM,1.7844974446337345
AES,1.7837354781054506
STX,1.783664459161147
PKG,1.7647317986562445
TTWO,1.7635342185903946
NTAP,1.7531812725089988
CINF,1.746297848561049
CI,1.7447620322645463
YUM,1.742564909520069
LKQ,1.7337979094076594
PG,1.7260258697591457
SYK,1.724475100432049
MAA,1.7124889456617902
NXPI,1.7113263642466685
UPS,1.7106203007518752
APD,1.709373842163758
CME,1.7044255319148864
HOLX,1.7039274924471277
AEE,1.7022173355323416
TEL,1.6943124745486666
CDAY,1.6767061839154194
AKAM,1.6734939759036138
XYL,1.670980788675426
PH,1.6649332748574672
LH,1.6647526807333117
SYY,1.6647320564906187
WEC,1.6610561056105642
PENN,1.6607046070460687
XEL,1.655180180180175
CBRE,1.6403508771929776
LMT,1.6343977966354069
WELL,1.6342857142857148
KMX,1.6273160402329256
ICE,1.626264329062716
ORCL,1.6258686393185273
NVDA,1.6234545119025663
REGN,1.6051828074845316
FMC,1.6008809320829775
DOV,1.5972222222222192
BLK,1.5970844565416524
CERN,1.5955932203389867
ALL,1.593580914904084
SCHW,1.5918166132610334
MAS,1.5917390002993126
COO,1.5880879627310525
CE,1.5696456429685721
HON,1.5665567441486385
EQIX,1.565458295028204
DVA,1.5557362507392072
ATVI,1.5529981829194477
BSX,1.550963081861954
DFS,1.5483443708609252
ITW,1.5470436236510137
QRVO,1.5466568699485603
PEG,1.543831902394939
MRO,1.5417193426042954
OTIS,1.5378275570583302
ETR,1.5366627031311966
PEP,1.5330770606114807
MDLZ,1.5312427409988352
MLM,1.530289604999303
FRC,1.5268621575342474
STZ,1.526537176790794
DRI,1.5250570844850433
CMS,1.5230872183805522
DVN,1.5170116583392845
BAC,1.5158965663416777
ES,1.5134997452878212
HRL,1.510286873370041
KO,1.5093138410752254
CB,1.503412343142291
GPN,1.4991806378419223
J,1.493859749799153
CVX,1.491465677179964
FLT,1.4891774891774845
LEN,1.4881162836377908
LW,1.486190476190476
TSN,1.4858018715714707
CSCO,1.4755807027992864
AEP,1.4755026061057337
ARE,1.4732279909706576
EFX,1.4724467303453335
AMGN,1.4687290255659329
LNT,1.465774185400362
SO,1.4651721377101683
ALLE,1.4620972002113104
IRM,1.457684687234649
HIG,1.4548098898815693
GPC,1.4495240203675015
SEE,1.4494150034411515
FITB,1.4464215104784461
PFE,1.4453855140186949
SRE,1.4431094119788839
EBAY,1.4392772511848342
CHRW,1.4377525746317348
TRV,1.4370327296893168
ATO,1.4335868187579128
CHTR,1.4263563530020933
PSA,1.4243308558661272
JNJ,1.4202422006576312
BF.B,1.4197907585004372
BKR,1.415709692237021
COF,1.4106060606060606
BMY,1.4073049252905356
EMR,1.3976930792377087
AAP,1.3945017182130544
BRO,1.3907684871918822
FB,1.3891622153500094
BAX,1.3857334098297975
RF,1.384773662551438
MRK,1.383488262171104
TFX,1.3821297682341418
ROST,1.3749616446762842
NWSA,1.3737294761532455
TXT,1.3689258312020391
DGX,1.3681257014590311
MKTX,1.3653219342773177
JPM,1.358432358318102
BDX,1.3571738658563088
VMC,1.3533847184986567
PXD,1.3507655811947379
PNC,1.3504672897196253
ULTA,1.3504591710101768
L,1.3421052631578918
CBOE,1.3417627370769776
GLW,1.3412816691505196
FE,1.3366179275270211
LHX,1.3341566095986526
GS,1.3323724668064347
NWS,1.3298113207547222
TT,1.325808055693681
DUK,1.324133738601825
ROK,1.320713411885908
CMI,1.3185279187817267
IPG,1.307913079130795
EXC,1.3054159687325542
MGM,1.3045045045045012
UDR,1.2909847434119308
ZION,1.290160402202535
ILMN,1.2865007320644242
SNA,1.2797512259299144
CTSH,1.2779399141630923
EMN,1.2773886943471735
ECL,1.273911661900218
DTE,1.2631320086563067
CVS,1.2576553491351699
PCAR,1.2529922202274095
EA,1.2523846930759732
FANG,1.2475019215987713
JCI,1.243623998056841
ESS,1.2408714861177286
NI,1.2381756756756794
MDT,1.2379365667036883
MET,1.236832061068701
EOG,1.2330858085808625
SBUX,1.2296372347706983
RJF,1.2292158405454998
GIS,1.2252775405636205
EVRG,1.224884792626725
GD,1.2213699797592463
INTC,1.2170907079646005
FFIV,1.2099702169904962
NFLX,1.209229512659951
NTRS,1.2033170958014323
CTXS,1.2019415148609722
RE,1.1945680068434583
FIS,1.192598187311179
DLR,1.192202655617292
ED,1.190415007066681
PPG,1.189950513894172
EQR,1.1713871902156479
LYB,1.1700642588078896
AOS,1.1684502576298088
RL,1.1681209290893502
F,1.166958041958038
CLX,1.161215995243054
WY,1.1486205873627975
WMB,1.14544235924933
FBHS,1.144176839326952
PSX,1.1440797036658539
CMA,1.1347165400350625
GM,1.1325724319578587
OKE,1.1296329777617065
AMCR,1.1234347048300528
JNPR,1.12157287157287
CFG,1.1211947156806434
CNC,1.1156690386493653
WAB,1.1107124551512026
CNP,1.106352087114341
GL,1.106124304056357
WHR,1.1046743205248366
PFG,1.09573624980187
AVB,1.0902304800305138
SJM,1.0871223680195288
APTV,1.0803199279035678
AAPL,1.075226165622825
BKNG,1.0734746799229415
MTB,1.0734028092433194
CMCSA,1.0729499467518626
SYF,1.0710900473933689
KEY,1.0671178793006129
FDX,1.0650081900081925
O,1.063473455032656
HST,1.0615133369624377
KMB,1.056573644589761
D,1.0542835091330036
SWKS,1.0515759312320916
EXPE,1.0491517361661626
CL,1.0449775112443787
DOW,1.0436092610212468
HII,1.0386940150614348
XOM,1.0359449250639692
KIM,1.0289723856948854
NLOK,1.0132286068623375
FAST,1.0111046171829288
FOXA,1.0083981337480579
K,1.007738012988812
EW,1.0040232927474866
UHS,1.0029583433277398
WRK,1.0019519812609812
MKC,0.9981660723382574
REG,0.9936794582392772
LUMN,0.9935004642525537
APH,0.982216531512304
HBAN,0.9812734082397009
PRU,0.979425028184897
VZ,0.9786498576657141
FTV,0.9713953101613184
USB,0.9575169738118346
IFF,0.9537198875294479
IP,0.953377166766291
WRB,0.9522101033295107
DIS,0.9512367491166097
AIG,0.9498300695905487
FOX,0.9471016788089978
ZBH,0.9408323032550465
OGN,0.9394594594594624
MCHP,0.9322496926649371
OXY,0.9320677753373058
HPE,0.9231644849174718
GILD,0.9207153502235508
SWK,0.9175981873111818
ROL,0.9140950792326953
BK,0.9115213239974557
BWA,0.899851264253845
HAS,0.8898483783512371
CAG,0.8850061957868665
OMC,0.8824970828471427
PM,0.8757417412098133
CPB,0.8715064158903124
PNW,0.8695964555143096
TFC,0.867324561403509
SHW,0.8631282200836045
STT,0.8590459274295827
KMI,0.8578045391384909
PEAK,0.8523684975297864
VFC,0.8501098096632513
LNC,0.8445500536562957
EIX,0.844152595372106
WU,0.8437025796661619
DAL,0.835060449050082
BXP,0.8289730867538723
LUV,0.8257407407407426
IPGP,0.8207468184862706
FRT,0.8187387925881631
C,0.8168565683646104
VTR,0.8079877112135176
FISV,0.8023175371843638
ANET,0.798101746393318
DD,0.7947784611522524
PNR,0.7896258230287457
AFL,0.7891549683457172
MMM,0.7818791946308765
WFC,0.7763561001982322
PPL,0.7620587442737834
BBWI,0.7557575757575756
BA,0.7526181715256128
IBM,0.7400000000000003
APA,0.7323667711598727
MO,0.7200502652890266
TJX,0.7174773394612531
BIIB,0.7150977300231052
LEG,0.7147657639849763
CSX,0.703433476394848
WDC,0.6983199415631872
HAL,0.6960227272727266
CAH,0.6923171936758915
TPR,0.6908424908424913
SPG,0.6840744570837644
VTRS,0.6401468788249691
PVH,0.6397557666214365
RCL,0.6235414534288639
MHK,0.6235273507642461
UAL,0.6183601962158372
NLSN,0.6171483162168622
HBI,0.5888888888888894
BEN,0.5875449101796402
XRAY,0.5807790549169862
IVZ,0.5776397515527958
TAP,0.5744814582023859
INCY,0.5496679179901782
LVS,0.5456453305351526
NEE,0.5437383467992513
WYNN,0.5299123259412053
UAA,0.528753180661579
UA,0.522615803814713
WBA,0.5221217600964435
IR,0.5215464171386363
ALK,0.513911443109234
GPS,0.5035849852382994
HSIC,0.5002070393374741
SLB,0.4876447876447869
NWL,0.48148148148148223
KHC,0.4772677355589718
T,0.4657204714938637
CTRA,0.4388148148148136
DXC,0.4163355408388524
AAL,0.3903415783274437
DISH,0.34485492310131366
VNO,0.33511745465358395
NCLH,0.3229727037258421
ISRG,0.27643158844529325
CCL,0.24165531335149928
